Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
Washington,DCA,11:05,2023-06-04,"['B61954', 'AA9494', 'FI7924']","['JetBlue Airways', 'American Airlines', 'Icelandair']",C,Landed - On-time [+],09:30,2023-06-04,09:22,2023-06-04,11:05,2023-06-04,10:48,2023-06-04,
Provincetown,PVC,11:06,2023-06-04,['9K2301'],['Cape Air'],C,Landed - Delayed [+],10:36,2023-06-04,11:20,2023-06-04,11:06,2023-06-04,11:58,2023-06-04,Tecnam P2012 Traveler
Atlanta,ATL,11:08,2023-06-04,"['DL849', 'AR7094', 'KE3146', 'LA6313']","['Delta Air Lines', 'Aerolineas Argentinas', 'Korean Air', 'LATAM Airlines']",A,Landed - On-time [+],08:30,2023-06-04,08:30,2023-06-04,11:08,2023-06-04,10:59,2023-06-04,
Memphis,MEM,11:08,2023-06-04,"['DL5610', 'AF8665']","['Delta Air Lines', 'Air France']",A,Landed - On-time [+],07:00,2023-06-04,06:58,2023-06-04,11:08,2023-06-04,10:47,2023-06-04,
New York,JFK,11:10,2023-06-04,"['B62718', 'AA9503', 'EI5016', 'HA2002', 'LY8533', 'QR3831']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'El Al Israel Airlines', 'Qatar Airways']",C,Landed - On-time [+],10:00,2023-06-04,09:59,2023-06-04,11:10,2023-06-04,11:11,2023-06-04,
Cincinnati,CVG,11:12,2023-06-04,"['AA4104', 'B64534', 'IB4713']","['American Airlines', 'JetBlue Airways', 'Iberia']",B,Landed - Delayed [+],09:02,2023-06-04,09:24,2023-06-04,11:12,2023-06-04,11:36,2023-06-04,
Philadelphia,PHL,11:12,2023-06-04,"['AA2710', 'JL7527']","['American Airlines', 'JAL Japan Airlines']",B,Landed - On-time [+],09:48,2023-06-04,09:43,2023-06-04,11:12,2023-06-04,10:52,2023-06-04,
New York,JFK,11:24,2023-06-04,"['DL5606', 'AZ3199', 'KE3942', 'KQ7058', 'LA6177']","['Delta Air Lines', 'ITA Airways', 'Korean Air', 'Kenya Airways', 'LATAM Airlines']",A,Landed - Delayed [+],10:00,2023-06-04,10:45,2023-06-04,11:24,2023-06-04,11:44,2023-06-04,
Bar Harbor,BHB,11:25,2023-06-04,"['9K1834', 'B65158']","['Cape Air', 'JetBlue Airways']",C,Landed - Delayed [+],10:00,2023-06-04,11:12,2023-06-04,11:25,2023-06-04,12:40,2023-06-04,Cessna (Light aircraft)
Newark,EWR,11:25,2023-06-04,"['B62580', 'AA9248', 'HA2150', 'LY8523', 'QR3843']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines', 'El Al Israel Airlines', 'Qatar Airways']",C,Landed - On-time [+],10:15,2023-06-04,10:10,2023-06-04,11:25,2023-06-04,11:10,2023-06-04,
Nantucket,ACK,11:26,2023-06-04,"['B61151', 'QR3813', 'TP4494']","['JetBlue Airways', 'Qatar Airways', 'TAP Air Portugal']",C,Landed - On-time [+],10:35,2023-06-04,10:20,2023-06-04,11:26,2023-06-04,11:07,2023-06-04,
Cleveland,CLE,11:28,2023-06-04,"['DL5682', 'KE3302', 'VS2273']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],09:30,2023-06-04,09:27,2023-06-04,11:28,2023-06-04,11:25,2023-06-04,
Chicago,ORD,11:28,2023-06-04,"['DL684', 'KE3498', 'VS4137']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],08:00,2023-06-04,07:57,2023-06-04,11:28,2023-06-04,11:22,2023-06-04,
Nantucket,ACK,11:32,2023-06-04,['TJ849'],['Tradewind Aviation'],,Landed - On-time [+],11:00,2023-06-04,11:00,2023-06-04,11:32,2023-06-04,11:27,2023-06-04,
Grand Rapids,GRR,11:39,2023-06-04,['G42161'],['Allegiant Air'],E,Landed - On-time [+],09:30,2023-06-04,09:30,2023-06-04,11:39,2023-06-04,11:39,2023-06-04,
Chicago,ORD,11:40,2023-06-04,"['AA3710', 'AS4268', 'B64865']","['American Airlines', 'Alaska Airlines', 'JetBlue Airways']",B,Landed - Delayed [+],08:15,2023-06-04,08:12,2023-06-04,11:40,2023-06-04,12:03,2023-06-04,
Nantucket,ACK,11:46,2023-06-04,['CNS26'],['PlaneSense'],,Landed - On-time [+],11:14,2023-06-04,11:00,2023-06-04,11:46,2023-06-04,11:31,2023-06-04,
Chicago,MDW,11:50,2023-06-04,['WN2994'],['Southwest Airlines'],B,Landed - On-time [+],08:40,2023-06-04,08:36,2023-06-04,11:50,2023-06-04,11:57,2023-06-04,
