location	b	ra_at_1in100	pathogen	tidy_name	taxids	predictor_type	study
Overall	0.0015581965350584	4.989291527670108e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.3187929830562503	3.621697644321423e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.7839052348802747	2.2746603881115717e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.1604520041169903	1.560933537018453e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	0.232595104805121	6.286036216773006e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.96853186949576	1.891186036964338e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.5288855722832047	2.935419454823597e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.6767423326006494	9.314561151337817e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.6831497327551173	2.515788414511842e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-3.591176536403994	1.3732013511080357e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.6502769481763155	2.5998636867818815e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.121164541807356	5.972446933971975e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.299460176728158	3.6923963982620213e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.5024573691691026	4.0790491373737834e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.6502769481763155	2.5998636867818815e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.91995440430253	1.985322999037983e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2830776298257843	3.753385446653229e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.1796662572279644	5.633072346084627e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.6502769481763155	2.5998636867818815e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.9480923233149012	1.9302387642585243e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.8232155988565432	2.186977396172725e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.068094123144348	6.297968559493275e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.6502769481763155	2.5998636867818815e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.3854479259618595	1.246435868063104e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.094034164316931	1.6681277546580928e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.17844121947417	1.5331046323238648e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.6502769481763155	2.5998636867818815e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	1.1770390504437418	1.6163791655496664e-06	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-3.6916829901073873	1.2418948450710668e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	0.0052658465734032	5.00782440080371e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.370011740200114	3.440869287675843e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-3.918974942954107	9.8940291278737e-09	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-4.669950323601884	4.669052131465616e-09	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.602556619613965	3.690510000906675e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
